,tokenId,blockNumber,withdrawn,deposit,xp
0,0,8085008,0,0,900300
1,1,8085008,0,0,900299
2,2,8085008,0,0,900298
3,3,8085008,0,0,900297
4,4,8085008,0,0,900296
5,5,8085008,0,0,900295
6,6,8085008,0,0,900294
7,7,8085008,0,0,900293
8,0,8095105,0,0,900300
9,1,8095105,100000000000000000000,23374000000000000000,900299
10,2,8095105,0,0,900298
11,3,8095105,0,0,900297
12,4,8095105,0,0,900296
13,5,8095105,0,0,900295
14,6,8095105,0,0,900294
15,7,8095105,0,0,900293
16,8,8095105,13000000000000000000,26671907695930000000,900292
17,9,8095105,0,1248590244490000000,900291
18,10,8095105,0,1227747129530000000,900290
19,11,8095105,0,1227747129530000000,900289
20,12,8095105,0,1231032700000000000,900288
21,13,8095105,0,1229990145470000000,900287
22,14,8095105,0,1229990145470000000,900286
23,15,8095105,0,1229990145470000000,900285
24,16,8095105,0,1229990145470000000,900284
25,17,8095105,0,1229990145470000000,900283
26,18,8095105,0,1233740000000000000,900282
27,19,8095105,1234970000000000000000,3740000000000000,900281
28,0,8095106,0,0,900300
29,1,8095106,100000000000000000000,23374000000000000000,900299
30,2,8095106,0,0,900298
31,3,8095106,0,0,900297
32,4,8095106,0,0,900296
33,5,8095106,0,0,900295
34,6,8095106,0,0,900294
35,7,8095106,0,0,900293
36,8,8095106,13000000000000000000,26671907695930000000,900292
37,9,8095106,0,1248590244490000000,900291
38,10,8095106,0,1227747129530000000,900290
39,11,8095106,0,1227747129530000000,900289
40,12,8095106,0,1231032700000000000,900288
41,13,8095106,0,1229990145470000000,900287
42,14,8095106,0,1229990145470000000,900286
43,15,8095106,0,1229990145470000000,900285
44,16,8095106,0,1229990145470000000,900284
45,17,8095106,0,1229990145470000000,900283
46,18,8095106,0,1233740000000000000,900282
47,19,8095106,1234970000000000000000,3740000000000000,900281
48,20,8095106,0,1226902069530000000,900280
49,0,8095157,0,0,900300
50,1,8095157,100000000000000000000,21121333640507964288,3818078575411130319
51,2,8095157,0,0,900298
52,3,8095157,0,0,900297
53,4,8095157,0,0,900296
54,5,8095157,0,0,900295
55,6,8095157,0,0,900294
56,7,8095157,0,0,900293
57,8,8095157,13000000000000000000,25890514052481200113,1220927567889650115
58,9,8095157,0,1227471497369762166,32998042376271906
59,10,8095157,0,1206628382409762166,31520518090807504
60,11,8095157,0,1206628382409762166,31520518090807503
61,12,8095157,0,1209913952879762166,31520518090807502
62,13,8095157,0,1208871398349762166,30169638744097192
63,14,8095157,0,1208871398349762166,30169638744097191
64,15,8095157,0,1208871398349762166,30169638744097190
65,16,8095157,0,1208871398349762166,28158329494550729
66,17,8095157,0,1208871398349762166,28158329494550728
67,18,8095157,0,1205581670506349554,37544439325767543
68,19,8095157,734970000000000000000,469430833752269027822,38216132809664616403
69,20,8095157,200000000000000000000,40503998057781265743,7629147397186818101
70,21,8095157,0,1197725015328760930500,38004945338462237154
71,0,8099237,0,0,900300
72,1,8099237,100000000000000000000,21639910084630705105,3818078575411130319
73,2,8099237,0,0,900298
74,3,8099237,0,0,900297
75,4,8099237,0,0,900296
76,5,8099237,0,0,900295
77,6,8099237,0,0,900294
78,7,8099237,0,0,900293
79,8,8099237,13000000000000000000,27874862690705973651,1220927567889650115
80,9,8099237,0,4211931849259821567,32998042376271906
81,10,8099237,0,4191088734299821567,31520518090807504
82,11,8099237,0,4191088734299821567,31520518090807503
83,12,8099237,0,4194374304769821567,31520518090807502
84,13,8099237,0,4193331750239821567,30169638744097192
85,14,8099237,0,4193331750239821567,30169638744097191
86,15,8099237,0,4193331750239821567,30169638744097190
87,16,8099237,0,4193331750239821567,28158329494550729
88,17,8099237,0,4193331750239821567,28158329494550728
89,18,8099237,0,4190042022396408955,37544439325767543
90,19,8099237,734970000000000000000,475061092288458785274,38216132809664616403
91,20,8099237,200000000000000000000,41006699712798208372,7629147397186818101
92,21,8099237,0,1212123449047719887293,38004945338462237154
93,0,8099246,0,0,900300
94,1,8099246,100000000000000000000,21639910084630705105,3818078575411130319
95,2,8099246,0,0,900298
96,3,8099246,0,0,900297
97,4,8099246,0,0,900296
98,5,8099246,0,0,900295
99,6,8099246,0,0,900294
100,7,8099246,0,0,900293
101,8,8099246,13000000000000000000,27874862690705973651,1222148495457539765
102,9,8099246,0,4211931849259821567,32998042376271906
103,10,8099246,0,4191088734299821567,31520518090807504
104,11,8099246,0,4191088734299821567,31520518090807503
105,12,8099246,0,4194374304769821567,31520518090807502
106,13,8099246,0,4193331750239821567,30169638744097192
107,14,8099246,0,4193331750239821567,30169638744097191
108,15,8099246,0,4193331750239821567,30169638744097190
109,16,8099246,0,4193331750239821567,28158329494550729
110,17,8099246,0,4193331750239821567,28158329494550728
111,18,8099246,0,4190042022396408955,37544439325767543
112,19,8099246,734970000000000000000,475061092288458785274,38216132809664616403
113,20,8099246,200000000000000000000,41006699712798208372,7629147397186818101
114,21,8099246,0,1212123449047719887293,38004945338462237154
115,0,8099251,0,0,900300
116,1,8099251,100000000000000000000,21639910084630705105,3818078575411130319
117,2,8099251,0,0,900298
118,3,8099251,0,0,900297
119,4,8099251,0,0,900296
120,5,8099251,0,0,900295
121,6,8099251,0,0,900294
122,7,8099251,0,0,900293
123,8,8099251,13000000000000000000,27874862690705973651,1223370643952997304
124,9,8099251,0,4211931849259821567,32998042376271906
125,10,8099251,0,4191088734299821567,31520518090807504
126,11,8099251,0,4191088734299821567,31520518090807503
127,12,8099251,0,4194374304769821567,31520518090807502
128,13,8099251,0,4193331750239821567,30169638744097192
129,14,8099251,0,4193331750239821567,30169638744097191
130,15,8099251,0,4193331750239821567,30169638744097190
131,16,8099251,0,4193331750239821567,28158329494550729
132,17,8099251,0,4193331750239821567,28158329494550728
133,18,8099251,0,4190042022396408955,37544439325767543
134,19,8099251,734970000000000000000,475061092288458785274,38216132809664616403
135,20,8099251,200000000000000000000,41006699712798208372,7629147397186818101
136,21,8099251,0,1212123449047719887293,38004945338462237154
